S0 形状: (24, 32), ROI 格子数: 498
N_UAV=2, NUM_EPISODES=8000, MAX_STEPS=1500
eps_start=0.3, eps_end=0.02, eps_decay=0.9995

[EP 0000] INVALID steps=1500 reward= -566.56 覆盖率=99.4%
[EP 0001] INVALID steps=1500 reward=-2119.11 覆盖率=58.4%
[EP 0002] INVALID steps=1500 reward= -582.07 覆盖率=97.0%
[EP 0003] INVALID steps=1500 reward= -666.33 覆盖率=80.3%
[EP 0004] INVALID steps=1500 reward= -582.49 覆盖率=92.8%
[EP 0005] INVALID steps=1500 reward= -604.15 覆盖率=88.8%
[EP 0006] INVALID steps=1500 reward= -571.02 覆盖率=94.0%
[EP 0007] INVALID steps=1500 reward= -516.23 覆盖率=98.6%
[EP 0008] INVALID steps=1500 reward= -959.26 覆盖率=49.4%
[EP 0009] INVALID steps=1500 reward= -530.76 覆盖率=97.4%
[EP 0010] INVALID steps=1500 reward= -606.15 覆盖率=88.2%
[EP 0011] INVALID steps=1500 reward= -506.96 覆盖率=98.4%
[EP 0012] INVALID steps=1500 reward= -517.39 覆盖率=98.0%
[EP 0013] INVALID steps=1500 reward= -925.86 覆盖率=57.0%
[EP 0014] INVALID steps=1500 reward= -514.73 覆盖率=98.4%
[EP 0015] INVALID steps=1500 reward= -512.23 覆盖率=99.2%
[EP 0016] INVALID steps=1500 reward= -540.51 覆盖率=95.4%
[EP 0017] INVALID steps=1500 reward= -858.62 覆盖率=54.8%
[EP 0018] INVALID steps=1500 reward= -528.64 覆盖率=98.4%
[EP 0019] INVALID steps=1500 reward= -498.40 覆盖率=99.4%
[EP 0020] INVALID steps=1500 reward= -579.58 覆盖率=96.2%
[EP 0021] INVALID steps=1500 reward= -540.20 覆盖率=99.2%
[EP 0022] INVALID steps=1500 reward= -648.28 覆盖率=82.9%
[EP 0023] INVALID steps=1500 reward= -631.90 覆盖率=92.4%
[EP 0024] INVALID steps=1500 reward= -601.59 覆盖率=90.6%
[EP 0025] INVALID steps=1500 reward= -525.30 覆盖率=98.0%
[EP 0026] INVALID steps=1500 reward= -564.51 覆盖率=90.0%
[EP 0027] INVALID steps=1500 reward= -507.00 覆盖率=98.0%
[EP 0028] INVALID steps=1500 reward= -518.37 覆盖率=96.8%
[EP 0029] INVALID steps=1500 reward= -529.13 覆盖率=95.4%
[EP 0030] INVALID steps=1500 reward= -533.78 覆盖率=97.6%
[EP 0031] INVALID steps=1500 reward= -871.67 覆盖率=53.8%
[EP 0032] INVALID steps=1500 reward= -687.96 覆盖率=75.3%
[EP 0033] INVALID steps=1500 reward= -525.98 覆盖率=96.8%
[EP 0034] INVALID steps=1500 reward= -535.98 覆盖率=96.0%
[EP 0035] INVALID steps=1500 reward= -520.47 覆盖率=98.6%
[EP 0036] INVALID steps=1500 reward= -521.48 覆盖率=98.4%
[EP 0037] INVALID steps=1500 reward= -604.13 覆盖率=85.9%
[EP 0038] INVALID steps=1500 reward= -524.44 覆盖率=96.0%
[EP 0039] INVALID steps=1500 reward= -978.13 覆盖率=50.8%
[EP 0040] INVALID steps=1500 reward= -534.53 覆盖率=99.2%
[EP 0041] INVALID steps=1500 reward= -528.27 覆盖率=97.2%
[EP 0042] INVALID steps=1500 reward= -533.56 覆盖率=97.8%
[EP 0043] INVALID steps=1500 reward= -509.19 覆盖率=98.4%
[EP 0044] INVALID steps=1500 reward= -544.53 覆盖率=97.4%
[EP 0045] INVALID steps=1500 reward= -552.99 覆盖率=98.2%
[EP 0046] INVALID steps=1500 reward= -523.20 覆盖率=95.4%
[EP 0047] INVALID steps=1500 reward= -540.96 覆盖率=98.0%
[EP 0048] INVALID steps=1500 reward= -509.51 覆盖率=98.4%
