uav_id,step,i,j,x,y
0,0,0,0,-25.00,-25.00
0,1,1,1,25.00,25.00
0,2,2,1,25.00,75.00
0,3,3,1,25.00,125.00
0,4,4,2,75.00,175.00
0,5,5,2,75.00,225.00
0,6,6,2,75.00,275.00
0,7,7,2,75.00,325.00
0,8,8,2,75.00,375.00
0,9,9,2,75.00,425.00
0,10,10,2,75.00,475.00
0,11,11,2,75.00,525.00
0,12,12,2,75.00,575.00
0,13,11,1,25.00,525.00
0,14,10,1,25.00,475.00
0,15,9,1,25.00,425.00
0,16,8,1,25.00,375.00
0,17,7,1,25.00,325.00
0,18,6,1,25.00,275.00
0,19,5,1,25.00,225.00
0,20,4,1,25.00,175.00
0,21,3,2,75.00,125.00
0,22,4,3,125.00,175.00
0,23,5,4,175.00,225.00
0,24,5,5,225.00,225.00
0,25,5,6,275.00,225.00
0,26,5,7,325.00,225.00
0,27,5,8,375.00,225.00
0,28,5,9,425.00,225.00
0,29,5,10,475.00,225.00
0,30,5,11,525.00,225.00
0,31,5,12,575.00,225.00
0,32,5,13,625.00,225.00
0,33,5,14,675.00,225.00
0,34,5,15,725.00,225.00
0,35,5,16,775.00,225.00
0,36,5,17,825.00,225.00
0,37,5,18,875.00,225.00
0,38,5,19,925.00,225.00
0,39,5,20,975.00,225.00
0,40,5,21,1025.00,225.00
0,41,5,22,1075.00,225.00
0,42,5,23,1125.00,225.00
0,43,5,24,1175.00,225.00
0,44,5,25,1225.00,225.00
0,45,5,26,1275.00,225.00
0,46,5,27,1325.00,225.00
0,47,5,28,1375.00,225.00
0,48,5,29,1425.00,225.00
0,49,6,28,1375.00,275.00
0,50,7,28,1375.00,325.00
0,51,8,28,1375.00,375.00
0,52,8,29,1425.00,375.00
0,53,7,29,1425.00,325.00
0,54,6,29,1425.00,275.00
0,55,7,28,1375.00,325.00
0,56,7,27,1325.00,325.00
0,57,6,27,1325.00,275.00
0,58,7,26,1275.00,325.00
0,59,8,25,1225.00,375.00
0,60,8,24,1175.00,375.00
0,61,8,23,1125.00,375.00
0,62,8,22,1075.00,375.00
0,63,8,21,1025.00,375.00
0,64,8,20,975.00,375.00
0,65,8,19,925.00,375.00
0,66,8,18,875.00,375.00
0,67,8,17,825.00,375.00
0,68,8,16,775.00,375.00
0,69,8,15,725.00,375.00
0,70,8,14,675.00,375.00
0,71,8,13,625.00,375.00
0,72,8,12,575.00,375.00
0,73,8,11,525.00,375.00
0,74,8,10,475.00,375.00
0,75,8,9,425.00,375.00
0,76,8,8,375.00,375.00
0,77,8,7,325.00,375.00
0,78,8,6,275.00,375.00
0,79,8,5,225.00,375.00
0,80,8,4,175.00,375.00
0,81,8,3,125.00,375.00
0,82,9,4,175.00,425.00
0,83,9,5,225.00,425.00
0,84,10,4,175.00,475.00
0,85,10,3,125.00,475.00
0,86,11,3,125.00,525.00
0,87,12,4,175.00,575.00
0,88,12,5,225.00,575.00
0,89,13,6,275.00,625.00
0,90,13,7,325.00,625.00
0,91,13,8,375.00,625.00
0,92,13,9,425.00,625.00
0,93,13,10,475.00,625.00
0,94,13,11,525.00,625.00
0,95,13,12,575.00,625.00
0,96,13,13,625.00,625.00
0,97,13,14,675.00,625.00
0,98,13,15,725.00,625.00
0,99,13,16,775.00,625.00
0,100,13,17,825.00,625.00
0,101,13,18,875.00,625.00
0,102,13,19,925.00,625.00
0,103,13,20,975.00,625.00
0,104,13,21,1025.00,625.00
0,105,13,22,1075.00,625.00
0,106,13,23,1125.00,625.00
0,107,13,24,1175.00,625.00
0,108,13,25,1225.00,625.00
0,109,13,26,1275.00,625.00
0,110,13,27,1325.00,625.00
0,111,12,27,1325.00,575.00
0,112,12,28,1375.00,575.00
0,113,11,29,1425.00,525.00
0,114,10,29,1425.00,475.00
0,115,9,29,1425.00,425.00
0,116,9,30,1475.00,425.00
0,117,10,29,1425.00,475.00
0,118,9,28,1375.00,425.00
0,119,9,27,1325.00,425.00
0,120,10,27,1325.00,475.00
0,121,10,28,1375.00,475.00
0,122,11,27,1325.00,525.00
0,123,10,26,1275.00,475.00
0,124,9,26,1275.00,425.00
0,125,8,27,1325.00,375.00
0,126,8,26,1275.00,375.00
0,127,7,25,1225.00,325.00
0,128,6,26,1275.00,275.00
0,129,5,25,1225.00,225.00
0,130,4,24,1175.00,175.00
0,131,4,25,1225.00,175.00
0,132,4,26,1275.00,175.00
0,133,4,27,1325.00,175.00
0,134,4,28,1375.00,175.00
0,135,4,29,1425.00,175.00
0,136,3,28,1375.00,125.00
0,137,3,27,1325.00,125.00
0,138,3,26,1275.00,125.00
0,139,3,25,1225.00,125.00
0,140,3,24,1175.00,125.00
0,141,3,23,1125.00,125.00
0,142,4,23,1125.00,175.00
0,143,4,22,1075.00,175.00
0,144,4,21,1025.00,175.00
0,145,4,20,975.00,175.00
0,146,4,19,925.00,175.00
0,147,4,18,875.00,175.00
0,148,4,17,825.00,175.00
0,149,4,16,775.00,175.00
0,150,4,15,725.00,175.00
0,151,4,14,675.00,175.00
0,152,3,14,675.00,125.00
0,153,2,15,725.00,75.00
0,154,2,16,775.00,75.00
0,155,3,16,775.00,125.00
0,156,3,15,725.00,125.00
0,157,2,15,725.00,75.00
0,158,2,16,775.00,75.00
0,159,3,16,775.00,125.00
0,160,3,15,725.00,125.00
0,161,2,14,675.00,75.00
0,162,1,14,675.00,25.00
0,163,1,13,625.00,25.00
0,164,2,12,575.00,75.00
0,165,2,11,525.00,75.00
0,166,1,10,475.00,25.00
0,167,1,9,425.00,25.00
0,168,2,8,375.00,75.00
0,169,2,7,325.00,75.00
0,170,1,6,275.00,25.00
0,171,1,5,225.00,25.00
0,172,2,4,175.00,75.00
0,173,2,3,125.00,75.00
0,174,2,2,75.00,75.00
0,175,3,1,25.00,125.00
0,176,4,1,25.00,175.00
0,177,5,1,25.00,225.00
0,178,6,1,25.00,275.00
0,179,7,1,25.00,325.00
