uav_id,step,i,j,x,y
0,0,0,0,-25.00,-25.00
0,1,1,1,25.00,25.00
0,2,2,2,75.00,75.00
0,3,2,3,125.00,75.00
0,4,3,3,125.00,125.00
0,5,4,4,175.00,175.00
0,6,4,5,225.00,175.00
0,7,4,6,275.00,175.00
0,8,4,7,325.00,175.00
0,9,4,8,375.00,175.00
0,10,4,9,425.00,175.00
0,11,4,10,475.00,175.00
0,12,4,11,525.00,175.00
0,13,4,12,575.00,175.00
0,14,4,13,625.00,175.00
0,15,4,14,675.00,175.00
0,16,4,15,725.00,175.00
0,17,4,16,775.00,175.00
0,18,4,17,825.00,175.00
0,19,4,18,875.00,175.00
0,20,4,19,925.00,175.00
0,21,4,20,975.00,175.00
0,22,4,21,1025.00,175.00
0,23,4,22,1075.00,175.00
0,24,4,23,1125.00,175.00
0,25,4,24,1175.00,175.00
0,26,4,25,1225.00,175.00
0,27,4,26,1275.00,175.00
0,28,4,27,1325.00,175.00
0,29,4,28,1375.00,175.00
0,30,4,29,1425.00,175.00
0,31,5,28,1375.00,225.00
0,32,5,27,1325.00,225.00
0,33,5,26,1275.00,225.00
0,34,5,25,1225.00,225.00
0,35,5,24,1175.00,225.00
0,36,5,23,1125.00,225.00
0,37,5,22,1075.00,225.00
0,38,5,21,1025.00,225.00
0,39,5,20,975.00,225.00
0,40,5,19,925.00,225.00
0,41,5,18,875.00,225.00
0,42,5,17,825.00,225.00
0,43,5,16,775.00,225.00
0,44,5,15,725.00,225.00
0,45,5,14,675.00,225.00
0,46,5,13,625.00,225.00
0,47,5,12,575.00,225.00
0,48,5,11,525.00,225.00
0,49,5,10,475.00,225.00
0,50,5,9,425.00,225.00
0,51,5,8,375.00,225.00
0,52,5,7,325.00,225.00
0,53,5,6,275.00,225.00
0,54,5,5,225.00,225.00
0,55,5,4,175.00,225.00
0,56,6,3,125.00,275.00
0,57,7,2,75.00,325.00
0,58,8,2,75.00,375.00
0,59,9,2,75.00,425.00
0,60,10,2,75.00,475.00
0,61,11,2,75.00,525.00
0,62,12,2,75.00,575.00
0,63,11,3,125.00,525.00
0,64,11,4,175.00,525.00
0,65,11,5,225.00,525.00
0,66,11,6,275.00,525.00
0,67,11,7,325.00,525.00
0,68,11,8,375.00,525.00
0,69,11,9,425.00,525.00
0,70,11,10,475.00,525.00
0,71,11,11,525.00,525.00
0,72,11,12,575.00,525.00
0,73,11,13,625.00,525.00
0,74,11,14,675.00,525.00
0,75,11,15,725.00,525.00
0,76,11,16,775.00,525.00
0,77,11,17,825.00,525.00
0,78,11,18,875.00,525.00
0,79,11,19,925.00,525.00
0,80,11,20,975.00,525.00
0,81,11,21,1025.00,525.00
0,82,11,22,1075.00,525.00
0,83,11,23,1125.00,525.00
0,84,11,24,1175.00,525.00
0,85,11,25,1225.00,525.00
0,86,11,26,1275.00,525.00
0,87,12,25,1225.00,575.00
0,88,12,24,1175.00,575.00
0,89,12,23,1125.00,575.00
0,90,12,22,1075.00,575.00
0,91,12,21,1025.00,575.00
0,92,12,20,975.00,575.00
0,93,12,19,925.00,575.00
0,94,12,18,875.00,575.00
0,95,12,17,825.00,575.00
0,96,12,16,775.00,575.00
0,97,12,15,725.00,575.00
0,98,12,14,675.00,575.00
0,99,12,13,625.00,575.00
0,100,12,12,575.00,575.00
0,101,12,11,525.00,575.00
0,102,12,10,475.00,575.00
0,103,12,9,425.00,575.00
0,104,12,8,375.00,575.00
0,105,13,7,325.00,625.00
0,106,12,7,325.00,575.00
0,107,12,6,275.00,575.00
0,108,12,5,225.00,575.00
0,109,13,6,275.00,625.00
0,110,14,6,275.00,675.00
0,111,15,7,325.00,725.00
0,112,16,8,375.00,775.00
0,113,16,9,425.00,775.00
0,114,15,9,425.00,725.00
0,115,15,10,475.00,725.00
0,116,16,10,475.00,775.00
0,117,17,9,425.00,825.00
0,118,17,8,375.00,825.00
0,119,16,7,325.00,775.00
0,120,15,8,375.00,725.00
0,121,16,8,375.00,775.00
0,122,16,9,425.00,775.00
0,123,17,10,475.00,825.00
0,124,18,10,475.00,875.00
0,125,18,11,525.00,875.00
0,126,18,12,575.00,875.00
0,127,19,13,625.00,925.00
0,128,19,14,675.00,925.00
0,129,19,15,725.00,925.00
0,130,19,16,775.00,925.00
0,131,19,17,825.00,925.00
0,132,19,18,875.00,925.00
0,133,19,19,925.00,925.00
0,134,19,20,975.00,925.00
0,135,19,21,1025.00,925.00
0,136,19,22,1075.00,925.00
0,137,20,22,1075.00,975.00
0,138,21,22,1075.00,1025.00
0,139,20,21,1025.00,975.00
0,140,20,20,975.00,975.00
0,141,20,19,925.00,975.00
0,142,20,18,875.00,975.00
0,143,21,18,875.00,1025.00
0,144,21,19,925.00,1025.00
0,145,21,20,975.00,1025.00
0,146,21,21,1025.00,1025.00
0,147,22,22,1075.00,1075.00
0,148,22,21,1025.00,1075.00
0,149,21,20,975.00,1025.00
0,150,20,19,925.00,975.00
0,151,19,19,925.00,925.00
0,152,18,19,925.00,875.00
0,153,18,20,975.00,875.00
0,154,18,21,1025.00,875.00
0,155,18,22,1075.00,875.00
0,156,19,23,1125.00,925.00
0,157,20,24,1175.00,975.00
0,158,21,24,1175.00,1025.00
0,159,22,24,1175.00,1075.00
0,160,22,23,1125.00,1075.00
0,161,22,22,1075.00,1075.00
0,162,22,21,1025.00,1075.00
0,163,21,21,1025.00,1025.00
0,164,21,20,975.00,1025.00
0,165,21,19,925.00,1025.00
0,166,21,18,875.00,1025.00
0,167,20,17,825.00,975.00
0,168,20,16,775.00,975.00
0,169,20,15,725.00,975.00
0,170,20,14,675.00,975.00
0,171,19,14,675.00,925.00
0,172,18,15,725.00,875.00
0,173,18,14,675.00,875.00
0,174,18,13,625.00,875.00
0,175,19,12,575.00,925.00
0,176,19,11,525.00,925.00
0,177,18,11,525.00,875.00
0,178,18,10,475.00,875.00
0,179,17,10,475.00,825.00
